Name,Rating,Reviews,Location and Description,Salaries,Interviews,Jobs
Wells Fargo,3.7,(8k),Financial Services | Bangalore / Bengaluru +28 other locations,54.7k Salaries,660 Interviews,35 Jobs
Dr. Reddy's,4.0,(7.9k),Pharma | Hyderabad / Secunderabad +209 other locations,25.7k Salaries,481 Interviews,24 Jobs
Optum Global Solutions,4.0,(7.6k),IT Services & Consulting | Hyderabad / Secunderabad +66 other locations,47.4k Salaries,732 Interviews,108 Jobs
HGS,3.8,(7.5k),BPO | Bangalore / Bengaluru +120 other locations,21k Salaries,266 Interviews,19 Jobs
ICICI Prudential Life Insurance,4.0,(7.5k),Insurance | Mumbai +503 other locations,22.8k Salaries,464 Interviews,1.1k Jobs
Delhivery,3.8,(7.5k),Logistics | Gurgaon / Gurugram +740 other locations,20.6k Salaries,582 Interviews,126 Jobs
JPMorgan Chase & Co.,3.9,(7.4k),Financial Services | Bangalore / Bengaluru +54 other locations,82.3k Salaries,843 Interviews,797 Jobs
JSW Steel,3.9,(7.4k),Iron & Steel | Ballari +193 other locations,29.8k Salaries,760 Interviews,119 Jobs
Amazon Development Centre India,3.9,(7.3k),Internet | Hyderabad / Secunderabad +146 other locations,37.2k Salaries,857 Interviews,6 Jobs
Jana Small Finance Bank,3.8,(7.3k),Banking | Bangalore / Bengaluru +412 other locations,14.4k Salaries,295 Interviews,40 Jobs
Sun Pharmaceutical Industries,4.1,(7.3k),Pharma | Vadodara +261 other locations,23.3k Salaries,630 Interviews,347 Jobs
Hexaware Technologies,3.4,(7.3k),IT Services & Consulting | Chennai +68 other locations,52.1k Salaries,804 Interviews,629 Jobs
L&T Construction,4.0,(7.1k),Engineering & Construction | Chennai +424 other locations,19.4k Salaries,909 Interviews,-- Jobs
Lupin,4.1,(7.1k),Pharma | Pune +202 other locations,22.4k Salaries,423 Interviews,63 Jobs
Zydus Lifesciences,4.0,(7.1k),Pharma | Ahmedabad +173 other locations,19.7k Salaries,402 Interviews,17 Jobs
Hindustan Unilever,4.2,(7k),FMCG | Mumbai +524 other locations,19.9k Salaries,443 Interviews,38 Jobs
Equitas Small Finance Bank,4.2,(6.9k),Banking | Chennai +445 other locations,13.1k Salaries,498 Interviews,6 Jobs
Ekart Logistics,3.9,(6.9k),Logistics | Bangalore / Bengaluru +725 other locations,15.3k Salaries,395 Interviews,-- Jobs
KPMG India,3.4,(6.8k),Management Consulting | Bangalore / Bengaluru +108 other locations,63.4k Salaries,900 Interviews,121 Jobs
ITC,3.9,(6.8k),FMCG | Bangalore / Bengaluru +370 other locations,24.1k Salaries,658 Interviews,69 Jobs
Ujjivan Small Finance Bank,4.0,(6.8k),Banking | Bangalore / Bengaluru +522 other locations,12.5k Salaries,296 Interviews,123 Jobs
Axis Max Life Insurance,4.0,(6.8k),Insurance | New Delhi +492 other locations,20.1k Salaries,382 Interviews,211 Jobs
